position_id,symbol,entry_time,exit_time,entry_price,exit_price,profit,adverse
449728401,USOIL,2026-08-04 19:21:23,2026-08-05 00:05:08,75.021,74.144,-438.5,"{'adverse_buy': np.float64(-1.4099999999999966), 'adverse_sell': np.float64(0.15099999999999625)}"
449726358,USDCAD,2026-08-04 19:17:52,2026-08-04 20:19:46,1.40675,1.40636,2.77,"{'adverse_buy': np.float64(-0.0005399999999999849), 'adverse_sell': np.float64(7.00000000000145e-05)}"
449697661,US30,2026-08-04 18:56:27,2026-08-04 19:59:04,54217.5,54215.700000000004,9.0,"{'adverse_buy': np.float64(-73.5), 'adverse_sell': np.float64(76.5)}"
449697897,USDCAD,2026-08-04 18:24:27,2026-08-04 19:17:10,1.40763,1.40673,319.89,"{'adverse_buy': np.float64(-0.0013799999999999368), 'adverse_sell': np.float64(0.00024000000000001798)}"
449697416,US30,2026-08-04 18:21:22,2026-08-05 13:30:06,54242.0,54481.9,-12.0,"{'adverse_buy': np.float64(-98.0), 'adverse_sell': np.float64(426.90000000000146)}"
449648413,USDCAD,2026-08-04 17:05:23,2026-08-04 19:17:14,1.4072200000000001,1.40675,0.33,"{'adverse_buy': np.float64(-0.0009700000000001374), 'adverse_sell': np.float64(0.0006499999999998174)}"
449592020,USOIL,2026-08-04 15:33:02,2026-08-04 15:40:46,75.381,74.57900000000001,-401.0,"{'adverse_buy': np.float64(-1.0120000000000005), 'adverse_sell': np.float64(0.125)}"
449569833,US30,2026-08-04 15:01:39,2026-08-04 15:40:46,54042.0,54041.1,0.45,"{'adverse_buy': np.float64(-54.0), 'adverse_sell': np.float64(104.0)}"
449569647,US30,2026-08-04 15:01:24,2026-08-04 15:40:46,54046.0,54041.1,0.25,"{'adverse_buy': np.float64(-58.0), 'adverse_sell': np.float64(100.0)}"
449548737,USOIL,2026-08-04 14:39:49,2026-08-04 15:40:46,75.79899999999999,74.57900000000001,-12.2,"{'adverse_buy': np.float64(-1.4299999999999926), 'adverse_sell': np.float64(0.30700000000000216)}"
449534555,US30,2026-08-04 14:34:00,2026-08-04 15:40:46,53850.4,54041.1,-102.98,"{'adverse_buy': np.float64(-87.40000000000146), 'adverse_sell': np.float64(295.59999999999854)}"
449491544,US30,2026-08-04 13:41:50,2026-08-04 15:40:46,53837.0,54041.1,-10.21,"{'adverse_buy': np.float64(-127.0), 'adverse_sell': np.float64(309.0)}"
449288305,DE30,2026-08-04 10:47:27,2026-08-04 15:40:46,26187.4,26263.4,-43.78,"{'adverse_buy': np.float64(-42.0), 'adverse_sell': np.float64(88.0)}"
449305418,EURGBP,2026-08-04 10:26:26,2026-08-04 13:36:50,0.85631,0.85678,31.6,"{'adverse_buy': np.float64(-0.0001100000000000545), 'adverse_sell': np.float64(0.0006099999999999994)}"
449305014,EURGBP,2026-08-04 10:25:49,2026-08-04 11:31:45,0.85626,0.8564,0.19,"{'adverse_buy': np.float64(-6.0000000000060005e-05), 'adverse_sell': np.float64(0.00042999999999993044)}"
449273560,DE30,2026-08-04 09:32:04,2026-08-04 15:40:46,26160.4,26263.4,-59.33,"{'adverse_buy': np.float64(-65.0), 'adverse_sell': np.float64(115.0)}"
449239363,DE30,2026-08-04 09:23:44,2026-08-04 15:40:46,26157.5,26263.4,-8.54,"{'adverse_buy': np.float64(-62.099999999998545), 'adverse_sell': np.float64(117.90000000000146)}"
449227077,USTEC,2026-08-04 08:04:10,2026-08-04 08:32:39,29012.98,28984.88,1.41,"{'adverse_buy': np.float64(-54.23999999999796), 'adverse_sell': np.float64(16.75)}"
