timestamp,symbol,action,price,sl,tp,quantity,comment
2026-08-11T23:10:08.378831,GBPJPY,SELL,215.167,215.22574,215.0034,0.01,ALPHAEDGE_TRADE
2026-08-11T23:10:09.190021,BTCUSD,BUY,63664.307,63447.83574,63985.6186,0.01,ALPHAEDGE_TRADE
2026-08-11T23:10:09.917301,USDJPY,SELL,159.284,159.32172,159.1404,0.01,ALPHAEDGE_TRADE
2026-08-11T23:15:06.263742,EURJPY,SELL,183.856,183.89956,183.73399999999998,0.01,ALPHAEDGE_TRADE
2026-08-11T23:15:06.981371,USDCAD,BUY,1.3925,1.3921474,1.3933360000000001,0.01,ALPHAEDGE_TRADE
2026-08-11T23:15:07.716625,GBPJPY,SELL,215.146,215.22634000000002,214.9908,0.01,ALPHAEDGE_TRADE
2026-08-11T23:15:08.498100,USDJPY,SELL,159.287,159.3219,159.1422,0.01,ALPHAEDGE_TRADE
2026-08-11T23:15:09.193155,XAUUSD,BUY,4370.19,4365.4222,4396.1939999999995,0.01,ALPHAEDGE_TRADE
2026-08-11T23:15:09.889244,BTCUSD,BUY,63637.39,63447.83574,63969.4684,0.01,ALPHAEDGE_TRADE
2026-08-11T23:18:45.279279,GBPJPY,SELL,215.135,215.22634000000002,214.9842,0.01,ALPHAEDGE_TRADE
2026-08-11T23:18:46.076419,EURJPY,SELL,183.849,183.89956,183.72979999999998,0.01,ALPHAEDGE_TRADE
2026-08-11T23:18:46.799691,XAUUSD,BUY,4367.91,4364.6368,4394.826,0.01,ALPHAEDGE_TRADE
2026-08-11T23:18:47.555817,USDJPY,SELL,159.284,159.3219,159.1404,0.01,ALPHAEDGE_TRADE
2026-08-11T23:18:48.288645,USDCAD,BUY,1.39255,1.3921474,1.3933659999999999,0.01,ALPHAEDGE_TRADE
2026-08-11T23:18:49.000835,BTCUSD,BUY,63617.222,63447.83574,63957.367600000005,0.01,ALPHAEDGE_TRADE
2026-08-11T23:18:49.706557,US Oil,SELL,82.292,82.5292,81.5368,1.0,ALPHAEDGE_TRADE
2026-08-11T23:23:45.024734,EURJPY,SELL,183.847,183.89956,183.7286,0.01,ALPHAEDGE_TRADE
2026-08-11T23:23:45.856758,USDCAD,BUY,1.39246,1.3921474,1.393312,0.01,ALPHAEDGE_TRADE
2026-08-11T23:23:47.417143,XAUUSD,BUY,4368.73,4364.5960000000005,4395.317999999999,0.01,ALPHAEDGE_TRADE
2026-08-11T23:23:48.111112,GBPJPY,SELL,215.138,215.22634000000002,214.98600000000002,0.01,ALPHAEDGE_TRADE
2026-08-11T23:23:48.798426,USDJPY,SELL,159.285,159.3219,159.141,0.01,ALPHAEDGE_TRADE
2026-08-11T23:23:50.498611,BTCUSD,BUY,63611.588,63447.83574,63953.9872,0.01,ALPHAEDGE_TRADE
2026-08-11T23:23:51.202824,US Oil,SELL,82.344,82.5292,81.568,1.0,ALPHAEDGE_TRADE
2026-08-11T23:28:52.234656,EURJPY,SELL,183.836,183.89972,183.722,0.01,ALPHAEDGE_TRADE
2026-08-11T23:28:52.938049,USDJPY,SELL,159.282,159.3219,159.13920000000002,0.01,ALPHAEDGE_TRADE
2026-08-11T23:28:53.661458,XAUUSD,BUY,4369.72,4364.5960000000005,4395.912,0.01,ALPHAEDGE_TRADE
2026-08-11T23:28:54.444341,USDCAD,BUY,1.39252,1.3921474,1.393348,0.01,ALPHAEDGE_TRADE
2026-08-11T23:28:55.377693,GBPJPY,SELL,215.11,215.22674,214.9692,0.01,ALPHAEDGE_TRADE
2026-08-11T23:28:56.105597,BTCUSD,BUY,63632.145,63447.83574,63966.3214,0.01,ALPHAEDGE_TRADE
2026-08-11T23:28:56.870509,US Oil,SELL,82.262,82.5292,81.5188,1.0,ALPHAEDGE_TRADE
2026-08-11T23:33:45.934315,XAUUSD,BUY,4369.67,4366.8514000000005,4395.882,0.01,ALPHAEDGE_TRADE
2026-08-11T23:33:46.626107,BTCUSD,BUY,63665.657,63593.84192,63986.4286,0.01,ALPHAEDGE_TRADE
2026-08-11T23:36:17.345041,XAUUSD,BUY,4369.27,4366.1374,4395.642,0.01,ALPHAEDGE_TRADE
2026-08-11T23:36:18.055982,BTCUSD,BUY,63641.894,63584.69354,63972.1708,0.01,ALPHAEDGE_TRADE
2026-08-11T23:36:18.799238,US Oil,SELL,82.293,82.44691999999999,81.5374,1.0,ALPHAEDGE_TRADE
2026-08-11T23:41:18.040085,GBPJPY,SELL,215.203,215.24126,215.025,0.01,ALPHAEDGE_TRADE
2026-08-11T23:41:18.753164,USDCAD,BUY,1.39259,1.3923356,1.39339,0.01,ALPHAEDGE_TRADE
2026-08-11T23:41:19.467921,XAUUSD,BUY,4368.51,4365.8008,4395.186,0.01,ALPHAEDGE_TRADE
2026-08-11T23:41:20.197323,BTCUSD,BUY,63688.789,63583.06052,64000.3078,0.01,ALPHAEDGE_TRADE
2026-08-11T23:44:05.014035,XAUUSD,BUY,4367.43,4364.678800000001,4394.5380000000005,0.01,ALPHAEDGE_TRADE
2026-08-11T23:44:05.720116,US Oil,SELL,82.333,82.48873999999999,81.56139999999999,1.0,ALPHAEDGE_TRADE
2026-08-11T23:44:06.414490,BTCUSD,BUY,63643.475,63567.26786,63973.1194,0.01,ALPHAEDGE_TRADE
2026-08-11T23:44:07.225978,ETHUSD,BUY,1878.835,1876.2248599999998,1886.019,0.1,ALPHAEDGE_TRADE
2026-08-11T23:49:05.910410,GBPJPY,SELL,215.204,215.24126,215.0256,0.01,ALPHAEDGE_TRADE
2026-08-11T23:49:06.627094,USDJPY,SELL,159.331,159.3799,159.1686,0.01,ALPHAEDGE_TRADE
2026-08-11T23:49:07.360959,XAUUSD,BUY,4367.61,4364.4748,4394.646,0.01,ALPHAEDGE_TRADE
2026-08-11T23:49:08.069687,BTCUSD,BUY,63696.219,63567.26786,64004.7658,0.01,ALPHAEDGE_TRADE
2026-08-11T23:54:05.859341,USDCAD,BUY,1.39254,1.3921812,1.39336,0.01,ALPHAEDGE_TRADE
2026-08-11T23:54:06.614277,USDJPY,SELL,159.322,159.3799,159.16320000000002,0.01,ALPHAEDGE_TRADE
2026-08-11T23:54:07.323721,GBPJPY,SELL,215.188,215.24126,215.016,0.01,ALPHAEDGE_TRADE
2026-08-11T23:54:09.053587,XAUUSD,BUY,4367.66,4364.291200000001,4394.6759999999995,0.01,ALPHAEDGE_TRADE
2026-08-11T23:54:09.845351,BTCUSD,BUY,63684.671,63567.26786,63997.837,0.01,ALPHAEDGE_TRADE
2026-08-11T23:54:10.594840,US Oil,SELL,82.238,82.4993,81.5044,1.0,ALPHAEDGE_TRADE
2026-08-11T23:59:06.875225,US Oil,SELL,82.14,82.5021,81.4456,1.0,ALPHAEDGE_TRADE
2026-08-11T23:59:07.576469,BTCUSD,BUY,63709.352,63567.26786,64012.6456,0.01,ALPHAEDGE_TRADE
